OTUID	Kingdom	Phylum	Class	Order	Family	Genus	A1_b	A2_b	A3_b	A4_b	A5_b	A6_b	B1_b	B2_b	B3_b	B4_b	B5_b	B6_b	C1_b	C2_b	C3_b	C4_b	C5_b	C6_b	D1_b	D2_b	D3_b	D4_b	D5_b	D6_b	E1_b	E2_b	E3_b	E4_b	E5_b	E6_b
6d7c3591a60351934fa6070a0db83176	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	72	110	74	104	176	116	0	0	20	0	18	34	62	42	18	64	84	50
cae6a99635f967483cca9869c4f60efb	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	164	64	276	132	140
ea403646ed22d679fa4586263d8fc32f	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	0	0	0	0	0	0	0	0	0	28	0	0	26	30	10	24	60	40	0	0	6	10	0	8	202	96	52	138	194	112
b381b237c2eefde436e72e237168474d	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	224	48	178	198	184
70eae3f0af7c1ad7350c1a3189b6766b	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	150	128	210	136	214
5a85851196cf28506943318a2b3d5114	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	0	0	0	0	14	44	44	132	116	38	74	66	44	90	104	142	0	18	22	0	10	18	0	0	0	0	0	6
2815e2eb706f328b5d43215f5d38906e	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	318	138	50	172	136	160
c11224a2c78321aae315f6df4fbe0332	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	288	104	38	192	246	108
9c64e573ba59975ccc8cbb6689e4f7df	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Unidentified_Chloroplast	Unidentified_Chloroplast	0	0	0	0	0	0	0	0	0	0	0	0	44	84	16	266	170	260	0	0	16	40	0	76	0	0	0	0	0	0
dcc453180f4f8181835dc7c9227847d6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Pelagibacterium	0	0	0	0	0	0	0	0	0	0	0	0	82	112	58	82	160	118	0	0	26	32	14	34	130	30	4	20	46	14
9c0de7908dd6ef3d536b42d9e11e0779	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Unidentified_Burkholderiaceae	0	0	0	0	0	0	30	102	54	252	174	72	0	0	0	0	46	36	0	30	0	0	0	0	68	0	18	48	18	0
e80d9b199b6415215bd081bc7703fdb8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	108	76	236	162	104
566e7c6bd78cd8239498181b193e8f3e	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Bordetella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	82	56	322	160	100
83d887f9d8755e268a483a85b77ca9e6	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Unidentified_Mitochondria	860	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78db7fa6b16b73b101fbb8b282b5330e	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0	0	0	0	0	0	0	0	0	0	0	0	58	70	48	26	54	54	0	0	0	0	0	0	58	38	38	78	124	290
f8b80982510bec63a6322c13861027e5	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	192	72	148	108	156
10b890326e2b0b15509aefb95d0d6b79	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	0	0	0	0	0	0	0	10	0	0	0	0	114	140	92	120	166	134	0	0	26	32	30	56	0	0	0	0	0	0
a1d101a92e585f5b7bd0bffc9600dd15	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	250	80	70	140	204	162
7ea4b157e51f38c83a0693ce6ea70f53	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ochrobactrum	4	0	0	0	0	0	0	0	0	0	0	0	98	110	68	126	246	142	0	0	24	16	24	10	6	0	4	16	10	10
f42e53974ad60b6f7e2f908c6a780ac4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	98	94	132	108	156	218	0	0	24	34	14	34	0	0	0	0	0	0
