OTUID	Kingdom	Phylum	Class	Order	Family	Genus	species
ASV105	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halomicrobiaceae	Unidentified_Halomicrobiaceae	Unidentified_Halomicrobiaceae
ASV106	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Nicotiana_attenuata	Nicotiana_attenuata	Nicotiana_attenuata
ASV104	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV107	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Uncultured_Halococcaceae	Uncultured_Uncultured_Halococcaceae
ASV108	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloferacaceae	Haloterrigena	Haloterrigena_salina_JCM_13891
ASV111	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV110	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV112	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV103	Archaea	Crenarchaeota	Bathyarchaeia	Uncultured_Bathyarchaeia	Uncultured_Bathyarchaeia	Uncultured_Bathyarchaeia	Uncultured__Bathyarchaeia
ASV114	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV109	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV117	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloferacaceae	Haloterrigena	Unidentified_Haloterrigena
ASV120	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV113	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV121	Archaea	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV123	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halomicrobiaceae	Unidentified_Halomicrobiaceae	Unidentified_Halomicrobiaceae
ASV115	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV118	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV119	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV126	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
